texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
Poupa Lhe Apenas A Vida,79,187,1186,459,2835,1511,3572,19,
Povo Escolhido,68,158,869,414,2340,1249,2067,13,
Prática,32,68,374,226,1072,570,483,7,
Praticam O Mal,50,122,545,304,1780,951,1476,12,
Praticar A Justiça,62,170,1088,414,2790,1480,2736,16,
Praticar Mal,49,112,535,333,1710,911,1243,11,
Praticou A Justiça,61,187,1357,377,3131,1659,3008,16,
Prazer Momentaneo,82,199,1567,510,3237,1718,3200,16,
Prazer Passageiro,86,194,1499,626,3290,1742,3120,16,
Precisamo Purificar O Nosso Coração,155,353,1604,1035,5391,2872,10974,31,
Precisão,41,86,338,283,1282,684,696,8,
Precisar,44,89,368,328,1381,735,720,8,
Preciso Assumir Os Meus Pecados,115,340,1825,697,5494,2917,9207,27,
Preço,30,57,228,200,839,448,290,5,
Preco De Mercado,71,125,440,425,1649,887,1764,14,
Preco Justo,43,142,898,251,2366,1254,1430,10,
Predestinação,58,130,598,354,1920,1025,1703,13,
Preencher,56,92,326,384,1248,670,837,9,
Preencher O Vazio,90,180,1656,618,2940,1560,2715,15,
Preferiram Seguir Caminhos Indicados Pela Dureza Dos Seus Corações,278,638,3725,1788,9816,5227,37062,58,
Preferiram Seguir Caminhos Indicados Pela Dureza Dos Seus Corações E Correr Atrás Dos Baalins,371,875,4817,2389,13549,7212,70080,80,
Pregamos A Cristo Crucificado,127,271,1324,839,4043,2157,7072,26,
Prego,34,61,232,240,879,470,310,5,
Prender,44,80,314,302,1166,623,567,7,
Prenderá A Alma,55,109,388,331,1483,796,1430,13,
Preparados Para A Perdição,113,221,896,771,3309,1765,5106,23,
Preparai O Caminho Do Senhor,134,260,944,920,3674,1967,6264,24,
Preparará Melhor Para O Futuro Que Ele Espera,194,446,2525,1282,7078,3762,16986,38,
Presente,39,102,525,235,1612,857,824,8,
Preso,28,73,325,192,1191,632,370,5,
Presunção,40,112,679,236,1838,975,1017,9,
Pretender Acaso Fazer De Todos Os Deuses Um Só Deus,173,506,3602,947,8372,4439,21294,42,
Pretender Acaso Fazer De Todos Os Deuses Um Só Deus Em Verdade Isso É Algo Assombroso,290,821,5141,1620,13185,7003,57540,70,
Prevaricar,57,111,759,425,1829,970,1120,10,
Prevenir,53,107,719,383,1715,911,864,8,
Prever,39,84,660,277,1438,761,510,6,
Previsão,42,105,735,290,1757,931,848,8,
Primavera,49,103,706,351,1665,884,936,9,
Primeiramente Ao Judeu,97,223,1294,607,3325,1774,4480,20,
Primeiro Mandamento Com Promessa,142,340,1393,886,5008,2674,9889,29,
Primogenito,69,141,600,483,2031,1086,1562,11,
Principal Dever,80,152,836,548,2222,1187,2142,14,
Principio,64,109,370,492,1509,809,990,9,
Principio Primordial,125,224,773,943,3130,1677,4275,19,
Privados Da Verdade,78,168,1248,478,2656,1412,2873,17,
Procedi Loucamente,80,179,935,456,2571,1375,3060,17,
Proclama A Prevalencia Do Espirito Sobre A Materia,200,443,2171,1292,6611,3527,19092,43,
Proclamar,43,97,385,283,1453,775,882,9,
Procura Teus Amigos Entre Homens De Alma Nobre,177,447,2337,1055,6833,3640,17472,39,
Procuram De Todo O Coração,104,239,1265,624,3675,1957,5280,22,
Procurar,47,110,704,347,1904,1007,888,8,
Produza A Terra Alma Viva,92,245,2594,590,4379,2312,5166,21,
Produzam As Aguas Réptil,92,263,2279,584,4553,2408,5544,21,
Profanou,43,106,637,273,1704,905,856,8,
Profecia,46,73,244,318,957,515,592,8,
Profecia De Jesus,66,156,768,396,2286,1221,2355,15,
Profecia Deste Livro,94,202,1147,612,3042,1622,3654,18,
Profecia Divina,78,132,717,538,1816,974,1862,14,
Profecia Verdadeira,97,160,853,661,2254,1207,2898,18,
Profere Um Oraculo Sobre Esses Ossos,136,415,2197,814,6799,3607,12896,31,
Profeta,36,81,432,232,1267,674,574,7,
Profeta Do Altissimo,82,217,1045,514,3331,1774,3924,18,
Profeta Farei Surgir Do Meio De Seus Irmãos,187,421,2131,1261,6445,3433,15192,36,
Profeta Farei Surgir Do Meio Dos Seus Irmãos,189,450,2286,1273,7006,3728,16687,37,
Profeta Farei Surgir Do Meio Dos Seus Irmãos Como Tu És E Porei As Minhas Palavras Em Sua Boca E Lhes Falarás Tudo O Que Eu Ordenar,471,1209,6798,2909,18965,10087,127050,105,
Profeta Fareis Surgir Do Meio De Seus Irmaos,188,440,2231,1262,6806,3623,16317,37,
Profeta Paz,52,124,1303,346,2200,1162,1250,10,
Profundidade,63,117,603,391,1633,875,1416,12,
Profundidade Da Revelação,105,204,1203,611,2888,1546,4715,23,
Profundidade Do Abismo,96,195,879,582,2715,1455,3920,20,
Profundo,46,109,640,288,1719,914,880,8,
Profundo Do Abismo,79,187,916,479,2801,1494,3008,16,
Profundo No Coração,86,194,968,522,2934,1564,3315,17,
Profundo Sentimento De Ternura,133,349,2104,797,5549,2949,9450,27,
Profundo Silencio,87,195,906,555,2841,1518,3136,16,
Profundo Sono,64,172,910,386,2726,1449,2076,12,
Proibindo O Casamento,91,208,874,563,3020,1614,3971,19,
Proibiu,45,90,540,341,1412,751,637,7,
Proibiu A Usura,63,171,1332,443,2981,1576,2236,13,
Proibiu Comer,72,144,738,508,2164,1154,1740,12,
Prometer,47,110,560,317,1748,929,888,8,
Pronunciar,57,129,723,397,2053,1091,1300,10,
Pronunciar A Palavra,84,201,1317,556,3265,1733,3636,18,
Prophet,44,98,503,308,1550,824,693,7,
Propiciar,60,105,402,468,1557,831,954,9,
Proponho Diante De Vós A Maldição,132,294,1455,792,4248,2271,8260,28,
Proposito Divino,90,216,1251,628,3436,1826,3255,15,
Proprio Fardo,79,151,610,583,2293,1222,1824,12,
Prosperar,54,126,576,404,2096,1111,1143,9,
Prossigamos Ate´A Perfeição,112,256,1093,726,3822,2039,6425,25,
Prostituição,58,166,1102,392,2804,1485,2004,12,
Prostituir,57,165,1128,427,2893,1529,1660,10,
Prostituiram Com Ela,84,228,1308,540,3636,1932,4122,18,
Prostituta Não Tomarás,78,276,1833,472,4792,2534,5540,20,
Prostrar,44,125,701,334,2215,1170,1008,8,
Prostraram-Se Em Adoração E Ofereceram Sacrificios Diante Dele,253,523,2125,1603,7453,3988,28820,55,
Proteção,39,93,489,241,1465,779,752,8,
Protetor,46,127,775,316,2179,1153,1024,8,
Prova De Fogo,61,124,763,381,1866,995,1375,11,
Prova Indiscutivel,84,219,1740,540,3609,1914,3740,17,
Provou,35,107,980,227,1955,1031,648,6,
Prudencia,46,91,532,296,1349,720,828,9,
Prudente,40,103,724,234,1683,893,832,8,
Prumo,29,83,560,191,1415,749,420,5,
Publicano,39,93,525,223,1357,725,846,9,
Publico,33,78,474,197,1160,619,553,7,
Pudor,29,74,524,191,1262,668,375,5,
Pular,23,68,491,149,1166,617,345,5,
Puma,15,51,411,75,867,459,208,4,
Puni,24,60,429,164,974,517,244,4,
Punição,34,79,493,210,1209,644,560,7,
Punir,33,78,519,245,1298,688,395,5,
Puno,21,66,480,119,1118,592,268,4,
Purifica Nos De Todo O Pecado,118,253,1234,714,3675,1964,6096,24,
Purificado,57,102,552,399,1470,786,1030,10,
Purificai Os Vossos Corações,116,314,1799,754,5092,2703,7875,25,
Pus Eu Como Sábio Arquiteto O Fundamento,149,428,2831,847,6940,3684,14586,34,
Quadrado,36,81,540,224,1313,697,656,8,
Quadro,31,76,535,207,1296,686,462,6,
Qual É Logo A Vantagem Do Judeu,98,269,1961,488,4133,2201,6750,25,
Qual É Logo A Vantagem Do Judeu Ou Qual A Utilidade Da Circuncisão,220,562,3928,1218,8634,4598,30402,54,
Qual É O Meu Crime,68,158,968,406,2368,1263,2226,14,
Qual E O Meu Pecado,64,154,964,330,2292,1223,2325,15,
Qual E O Primeiro De Todos Os Mandamentos,157,409,1993,931,6223,3316,13940,34,
Qualidade,38,74,434,222,1014,544,675,9,
Qualidades A Serem Devolvidas,105,267,1788,589,4117,2192,6968,26,
Qualquer Pois Que Violar Um Destes Mais Pequenos Mandamentos,229,670,4225,1347,10878,5774,34892,52,
Qualquer Que Atentar Numa Mulher Para A Cobiçar,178,448,3013,1110,7266,3857,17960,40,
Qualquer Que Beber Desta Agua Tornará A Ter Sede,169,430,2896,1013,7034,3732,17240,40,
Qualquer Que É Casado Com A Repudiada,134,314,2033,790,4912,2613,9765,31,
Qualquer Que Fizer A Vontade De Deus,143,359,3320,863,6083,3221,10800,30,
Qualquer Que Seja O Lugar Que O Homem Santo Habite Este Sem Dúvida É Um Lugar De Regozijo,327,849,6105,1959,13515,7182,61200,72,
Qualquer Que Vem A Mim Ouve As Minhas Palavras,162,468,3573,966,7788,4128,17822,38,
Quando A Filha De Um Sacerdote Se Prostituir,170,431,2600,1060,6811,3621,15984,37,
Quando A Filha De Um Sacerdote Se Prostituir Profana A Seu Pai,232,574,3364,1456,9016,4795,29325,51,
Quando A Mulher De Alguém Se Desviar,131,320,2075,753,4884,2602,9630,30,
Quando Acenderes As Lampadas,89,233,1106,455,3461,1847,5850,25,
Quando Cair O Teu Inimigo Não Te Alegres,164,362,1901,1048,5332,2847,11979,33,
Quando Erámos Meninos Estavamos Reduzidos A Servidão,202,562,4054,1208,9236,4899,25898,46,
Quando Este Ser Corruptivel Estiver Vestido De Incorruptibilidade,289,712,4798,1855,11440,6076,41354,58,
Quando Eu Era Menino,84,192,1110,500,2876,1534,3281,17,
Quando Falar O Profeta Em Nome Do Eterno,160,367,1789,938,5411,2889,12144,33,
Quando Lavrares A Terra Não Ti Dara Mais A Sua Força,171,441,2727,1079,7163,3802,18564,42,
Quando O Julgares Saia Condenado,114,285,1446,636,4191,2238,8008,28,
Quando Se Cumprir A Palavra,104,266,1796,662,4370,2318,6141,23,
Quando Se Inflamou A Ira Do Senhor E Feriu O Povo Com Grande Flagelo,275,599,3038,1691,8675,4637,33000,55,
Quando Um Alma Se Virar Para Adivinhadores E Encantadores,217,514,3079,1339,7954,4234,25235,49,
Quando Um Homem Tomar Uma Mulher,123,339,2193,701,5327,2833,9180,27,
Quando Um Homem Tomar Uma Mulher E Se Casar Com Ela,171,459,2637,941,7007,3733,18860,41,
Quantas Faltas E Pecados Cometi Eu,104,311,1940,524,4925,2618,9048,29,
Quantidade,42,96,654,242,1466,781,970,10,
Quanto Ao Que Temia,69,195,1392,401,3209,1702,3136,16,
Quanto As Carnes Oferecidas Aos Idolos,137,362,1748,811,5572,2967,11979,33,
Quanto Mais Os Corações Dos Filhos Dos Homens,165,462,2127,973,7084,3773,17594,38,
Quanto Mais Vale Um Homem,87,258,1770,471,4080,2169,5439,21,
Quão Degenerado É O Teu Coração,119,254,1460,681,3768,2011,6630,26,
Quatro Gêneros De Males,90,234,1233,530,3626,1930,4700,20,
Que A Falta De Controle Significa Fazer Mal,165,354,2298,1013,5198,2776,12780,36,
Que A Mulher Não Se Aparte Do Marido,135,315,1710,835,4795,2555,9164,29,
Que A Paz Seja Sobre Vós,75,237,2190,441,4185,2211,4522,19,
Que A Ti Clamo Sem Cessar,75,219,1173,415,3421,1820,4400,20,
Que Aborreçam A Avareza,86,194,1976,542,3350,1772,3900,20,
Que Aceitou O Seu Testemunho,101,317,2396,543,5295,2806,7632,24,
Que Allah Vos Aniquile Como Se Distanciam Da Verdade,187,448,2698,1085,6674,3561,19756,44,
Que Andemos Segundo Os Seus Mandamentos,128,416,2387,618,6594,3505,14178,34,
Que Batalha Contra Lei Do Meu Entendimento,156,381,2163,862,5605,2993,13752,36,
Que Beber Da Agua Que Eu Lhe Der Nunca Terá Sede,163,361,2449,913,5485,2923,13756,38,
Que Confessa Que Jesus Veio Em Carne,127,352,2278,707,5576,2964,10590,30,
Que Confia Somente No Ser Humano,127,325,1738,737,4931,2628,8802,27,
Que Continuamente Se Oferecem Cada Ano,141,330,1797,751,4792,2561,10923,33,
Que Convinha Que Se Cumprisse Tudo O Que De Mim Estava Escrito Na Lei De Moises E Nos Profetas E Nos Salmos,378,1053,6165,2202,16611,8832,90644,86,
Que Creem No Invisivel,102,237,1650,650,3665,1951,4522,19,
Que Creias Naquele Que Ele Enviou,135,324,2313,803,5078,2701,9100,28,
Que Creias Que Jesus É Cristo,106,304,1960,668,5024,2664,7320,24,
Que Dão De Ombros A Frivolidade,125,260,1430,765,3780,2020,6786,26,
Que Deus Abra Nos A Porta Da Palavra,111,309,2118,645,5145,2727,8990,29,
Que Deus Tinha Feito,82,199,1342,506,3107,1653,3400,17,
Que Diremos Ter Alcançado Abraão Nosso Pai Segundo A Carne,208,496,2422,1228,7438,3967,24353,49,
Que Do Meu Espirito,86,212,1337,558,3384,1798,3408,16,
Que É De Um Só Homem Jesus Cristo,112,337,2029,632,5357,2847,8788,26,
Que É Escandalo Para Os Judeus,92,272,1685,476,4310,2291,6825,25,
Que É O Salvador De Todos,84,237,1569,454,3829,2033,4760,20,
Que É Profeta,57,129,822,355,2047,1088,1430,11,
Que Ele Nos Consagrou,82,226,1306,466,3562,1894,4086,18,
Que Em Nós Opera A Morte,92,236,1262,556,3706,1971,4503,19,
Que Encontre Alegria Em Sua Obra,123,285,1590,749,4331,2308,7722,27,
Que Era Bom,43,97,583,261,1503,800,882,9,
Que Era Bom A Paz,60,141,1455,376,2437,1289,1846,13,
Que Era Grande A Maldade Do Homem ,122,230,941,696,2982,1606,6237,27,
Que Era Necessario Que Ressucitasse,133,376,2302,827,6218,3297,11687,31,
Que Esse Homem Seja Punido De Morte,132,339,1761,754,5065,2702,9860,29,
Que Está No Seio Do Pai,84,210,1119,516,3234,1722,3798,18,
Que Esta´Obrigado A Guardar Toda Lei,134,296,1727,844,4516,2406,9207,31,
Que Estava Nu,38,146,1442,180,2664,1405,1617,11,
Que Estavas Nu,39,165,1542,181,3025,1595,1992,12,
Que Este É O Filho De Deus,94,220,1291,532,3250,1735,4420,20,
Que Eu Fiz,47,110,1505,313,2014,1062,888,8,
Que Eu Hei De Dar Aos Filhos De Israel,147,300,1434,945,4248,2274,9030,30,
Que Fara Pois O Senhor Da Vinha,128,281,1568,856,4303,2292,7050,25,
Que Farao Eles Quando O Senhor Começar O Exame,178,412,2464,1048,6268,3340,15694,38,
Que Farei Para Herdar A Vida Eterna,146,272,1622,998,4112,2192,7917,29,
Que Farei Pois Irmãos,99,216,1035,705,3306,1761,3906,18,
Que Fostes Ver No Deserto Uma Cana Abalada Pelo Vento,172,487,3241,892,7759,4123,21472,44,
Que Guarda A Beneficencia Em Milhares,149,275,1265,921,3639,1957,8832,32,
Que Há De Julgar Os Vivos E Os Mortos,129,390,2685,777,6456,3423,11339,29,
Que Ilumina O Homem,83,191,1037,513,2745,1468,3072,16,
Que Ilumina Todo Homem Que Vem Ao Mundo,153,396,2646,863,6092,3244,12704,32,
Que Mandou O Sol Iluminar O Dia,118,298,1693,720,4518,2408,7475,25,
Que Maneja Bem A Palavra Da Verdade,108,243,1647,568,3565,1904,7076,29,
Que Me Serve De Escandalo,87,213,1293,451,3187,1700,4494,21,
Que Não Bebessem Vinho,85,211,1282,483,3201,1706,4028,19,
Que Não Entrarão No Meu Repouso,126,342,2133,762,5586,2964,8918,26,
Que Não Nascer Da Agua,69,168,1059,379,2602,1385,3042,18,
Que Não Perdoará A Vossa Transgressão Nem Os Vossos Pecados.,199,622,3601,1143,10296,5459,31773,51,
Que Não Se Fie Na Mentira,95,212,1067,587,3098,1655,4260,20,
Que O Fruto,48,138,1101,300,2406,1272,1251,9,
Que O Homem Evite Os Perigos Do Mal,143,341,1853,879,5109,2725,9576,28,
Que O Nosso Homem Velho,94,256,1471,540,3942,2099,4883,19,
Que O Sábio Abandone Seu Lar E Entre Na Vida De Liberdade,198,423,2295,1140,6063,3243,19504,46,
Que O Senhor Escolher,96,222,1059,616,3352,1787,4014,18,
Que O Senhor Te Escute No Dia Da Provação,149,374,2390,873,5922,3148,12375,33,
Que Os Homens Nos Considerem Como Ministros De Cristo,219,579,2676,1355,8861,4720,26100,45,
Que Ouve As Palavras De Deus,85,274,2362,437,4748,2511,6325,23,
"Que Pelo Poder De Deus Sois Guardados, Mediante A Fé, Para A Salvação",229,553,3118,1307,8381,4467,31578,57,
Que Perdoa Tuas Iniquidades,113,275,1787,721,4393,2334,6624,24,
Que Prova Os Nossos Corações,104,329,1958,616,5539,2934,7920,24,
Que Pudesse Vivificar A Justiça,117,315,2520,733,5215,2765,8532,27,
Que Quer Que Todos Os Homens Se Salvem,136,424,2773,766,7012,3718,13175,31,
Que Quer Que Todos Os Homens Se Salvem E Venham Ao Conhecimento Da Verdade,273,696,4350,1527,10734,5715,42517,61,
Que Queres Que Eu Te Faça,89,233,1871,511,3913,2073,4680,20,
Que Recaia Sobre Ti Agora Tua Humilhação,154,343,2080,1000,5257,2800,11696,34,
Que Sai Da Boca De Deus,66,156,984,340,2338,1247,2826,18,
Que Se Alegram De Fazer Mal,98,215,1646,580,3271,1743,4752,22,
Que Se Alegram De Fazer Mal E Folgam Com As Perversidades Dos Maus,229,562,3487,1313,8558,4560,30402,54,
Que Se Castraram A Si Mesmo,84,255,1371,496,4123,2189,5632,22,
Que Se Cuide Cada Qual Do Seu Próximo,136,343,2629,796,5539,2941,10320,30,
Que Se Deixa Circuncidar Que Esta´Obrigado A Guardar Toda Lei,239,509,3398,1529,7847,4178,26520,52,
Que Seguem A Natureza,76,220,2290,434,3890,2055,3978,18,
Que Te Tem Feito Este Povo,98,278,2015,546,4542,2410,5859,21,
Que Tem A Graça Nos Seus Lábios,93,282,1650,515,4520,2401,7075,25,
Que Temos As Primicias Do Espirito,146,362,1829,992,5654,3008,10527,29,
Que Tenho Dado Perante Vós,102,264,1758,584,4220,2242,5830,22,
Que Tenho Dado Perante Vós A Vida E A Morte A Benção E A Maldição Escolhe Pois A Vida Para Que Vivais Tu E Teus Descendentes,414,1035,6822,2334,16041,8538,102564,99,
Que Tenho Eu Contigo,88,214,1402,526,3316,1765,3655,17,
Que Teu Irmão Tem Alguma Coisa Contra Ti,142,385,2500,850,6133,3259,12738,33,
Que Tinha O Incensário De Ouro,133,295,1609,877,4477,2386,7400,25,
Que Tirastes Da Terra Do Egito,116,296,1826,752,4820,2558,7425,25,
Que Todo Aquele Que Ve O Filho,122,293,2093,724,4585,2439,7056,24,
Que Todo Aquele Que Ve O Filho E Cre Nele Tenha A Vida Eterna E Eu Ressucitarei No Ultimo Dia,351,819,5301,2115,12501,6660,60680,74,
Que Todos Que Fomos Batizados Em Jesus Cristo,158,500,3659,912,8400,4450,19038,38,
Que Traziam Escritos Na Sua Fronte O Nome Dele,173,461,3215,1041,7449,3955,17556,38,
Que Traziam Escritos Na Sua Fronte O Nome Dele E O Nome De Seu Pai,239,608,3929,1411,9520,5064,31668,52,
Que Um De Vós Que Comigo Come Há De Trair Me,169,385,2419,1023,5847,3116,13124,34,
Que Vos Abstenhais Da Prostituição,125,368,2528,767,6140,3254,11070,30,
Que Vos Tiro Debaixo Da Carga Dos Egipcios,170,377,2519,1094,5873,3125,13230,35,
Que Vosso Amor Cresca Mais E Mais Em Ciencia E Todo Conhecimento,239,563,2750,1415,8219,4391,29892,53,
Quebrando O Vaso Lhe Derramou Sobre A Cabeça,157,364,2119,911,5564,2964,13505,37,
Quebrantando Alguem A Lei De Moises,127,307,1594,717,4461,2384,9240,30,
Quebrar,37,82,568,265,1408,745,581,7,
Queda,21,48,390,115,772,410,245,5,
Queima,30,66,435,196,1006,536,402,6,
Queimar,39,84,525,277,1330,707,595,7,
Queixa,32,77,995,216,1413,745,468,6,
Quem Ama Ao Próximo Tem Cumprido A Lei.,154,361,2323,962,5543,2952,11584,32,
Quem Ama Sua Vida,49,148,1282,257,2480,1314,2086,14,
Quem Ama Sua Vida Perde La A,84,210,1488,464,3272,1741,4642,22,
Quem Blasfemar O Nome Do Senhor Será Morto,165,417,1938,991,6319,3368,14630,35,
Quem Come Minha Carne E Bebe Meu Sangue,141,303,1617,771,4209,2256,9728,32,
Quem Come Minha Carne E Bebe Meu Sangue Permanece Em Mim,211,436,2020,1181,5852,3144,20102,46,
Quem Come Minha Carne E Bebe Meu Sangue Permanece Em Mim E Eu Nele,242,503,2420,1324,6733,3618,26712,53,
Quem Diz Eu Conheço A Deus E Não Observa Seus Mandamentos É Mentiroso,244,667,4591,1348,10609,5638,38076,57,
Quem É Cego,46,91,505,258,1257,674,828,9,
Quem É Cego Senão O Meu Servo,107,278,1781,591,4344,2311,6417,23,
Quem É Do Senhor Venha A Mim,110,245,1361,668,3575,1910,5412,22,
Quem É Este Que Escurece O Conselho Com Palavras Sem Conhecimento,242,620,3446,1334,9362,4991,34155,55,
Quem É O Homem Sabio Que Entenda Isso,137,344,1784,793,5140,2742,10350,30,
Quem Estará Seguro No Dia Da Sua Vinda,128,344,2378,754,5578,2961,10695,31,
Quem Há Entre Vós Que Ouça,95,266,2093,545,4460,2363,5607,21,
Quem Matar,37,109,757,217,1819,964,990,9,
Quem Matar Será Réu De Juizo,106,286,2536,672,4884,2585,6601,23,
Quem Me Livrará Do Corpo Desta Morte,145,361,2143,897,5703,3032,10860,30,
Quem Não Renascer Da Agua E Do Espirito,150,339,1806,936,5139,2739,10880,32,
Quem Não Temeria A Ti O Rei Das Nações,135,315,1584,833,4703,2509,9480,30,
Quem Nos Dará Carne Para Comer,115,259,1240,715,3937,2098,6500,25,
Quem Redime Tua Vida Da Perdição,129,264,1740,801,3942,2103,7155,27,
Quem Renegar O Sedutor E Crer Em Allah Ter Se A Apegado A Um Firme E Inquebrantável Sustentáculo,350,881,5417,2062,13735,7308,69678,79,
Quem Semeia A Boa Semente É O Filho Do Homem,162,351,1449,922,4711,2531,12320,35,
Quem Subirá Ao Céu ,63,171,1296,371,2837,1504,2580,15,
Quem Te Mostrou Que Estavas Nu,97,367,3022,507,6519,3443,9200,25,
Quem Te Não Temera O Senhor,105,267,1455,625,4135,2201,5896,22,
Quem Tem Ouvidos Para Ouvir Ouça,126,360,2988,764,6164,3262,9747,27,
Quem Vê Com Olhos Bondosos Será Abençoado; Porque Dá Do Seu Pão Ao Pobre,258,654,3507,1464,10068,5361,38645,59,
Quem Vigia A Sua Boca,68,167,1319,404,2663,1415,2856,17,
Quem Vigia A Sua Boca Guarda A Sua Vida,117,297,2538,687,4881,2589,9238,31,
Quente,28,82,640,152,1376,729,498,6,
Quer Que Todos Os Homens Se Salvem,120,381,2388,668,6257,3319,10696,28,
Querendo O Aperfeiçoamento Dos Santos,152,386,1934,888,5910,3148,12771,33,
Querendo O Aperfeiçoamento Dos Santos Para A Obra Do Ministerio Para Edificação Do Corpo De Cristo,403,880,3967,2569,13018,6949,73123,83,
Querendo Ser Mestres Da Lei,109,271,1378,673,4183,2227,6256,23,
Querer,39,84,570,285,1428,756,510,6,
Querida,39,75,489,277,1177,626,532,7,
Quietude,39,102,903,233,1718,910,824,8,
Quinta Essencia Do Barro,95,230,1220,607,3586,1908,4851,21,
Radar,24,42,186,180,666,354,215,5,
Raiva,24,51,501,180,891,471,260,5,
Raíz,27,54,900,227,1082,568,220,4,
Rancor,33,69,294,233,1079,574,420,6,
Raquel,29,74,506,189,1224,649,450,6,
Rara,20,38,182,164,650,344,156,4,
Raso,17,53,251,119,911,482,216,4,
Rastejar,29,92,497,195,1536,814,744,8,
Rastejará Sobre O Teu Ventre,99,297,2070,593,5021,2659,7152,24,
Razão,25,61,952,183,1227,644,310,5,
Reação Imediata,60,105,429,378,1359,732,1484,14,
Realização,46,91,1000,308,1487,789,920,10,
Realizar,45,90,1026,343,1576,833,728,8,
Realizar Um Sonho,78,195,1644,530,3257,1726,2940,15,
Rebanho,36,63,216,236,839,451,448,7,
Rebeca,25,34,106,145,388,211,210,6,
Rebelar,34,61,223,226,847,454,434,7,
Rebelião,40,67,202,262,829,448,544,8,
Recato,26,62,359,156,984,523,378,6,
Recebendo Em Si Mesmo A Recompensa Que Convinha Ao Seu Erro,232,538,2725,1382,7988,4263,26411,49,
Receber,38,56,200,250,736,396,399,7,
Receber A Escritura,81,171,999,543,2703,1437,2924,17,
Receber Criticas,75,138,615,517,2002,1070,2085,15,
Receber Maria A Tua Mulher,101,218,1316,649,3322,1770,4818,22,
Receberá Galardão De Profeta,116,206,836,718,2806,1506,5175,25,
Recebeu A Profecia Divina,111,192,1128,717,2670,1431,4246,22,
Recepção,39,66,237,235,874,470,536,8,
Recepção Da Escritura,86,185,1040,544,2857,1521,3534,19,
Recepção Da Palavra De Deus,92,200,1253,502,2986,1593,4623,23,
Recepçãodapalavradedeus,92,200,1253,502,2986,1593,4623,23,
Receptor,46,100,523,310,1588,844,808,8,
Recipiente,59,104,446,405,1422,763,1050,10,
Reclamação,36,72,234,188,908,490,730,10,
Reclusão,31,94,589,171,1530,812,760,8,
Recolher,48,84,291,330,1140,612,680,8,
Recomendado,52,97,322,286,1231,664,1078,11,
Recompensar,55,127,514,349,1915,1021,1408,11,
Reconhece Em Todos Oseus Caminhos,130,328,1534,738,4842,2585,9541,29,
Reconhece Em Todos Seus Caminhos,124,313,1474,702,4617,2465,8792,28,
Reconhece-O Em Todos Oseus Caminhos,136,343,1594,774,5067,2705,10664,31,
Reconhecer,58,94,319,380,1226,660,950,10,
Reconhecer O Erro,93,165,624,639,2349,1257,2490,15,
Recuperar,51,105,654,361,1729,917,954,9,
Recusar,31,85,589,207,1485,785,602,7,
Recusastes O Meu Chamado,76,229,1426,386,3653,1941,4830,21,
Referencia,57,84,264,389,1046,565,850,10,
Refletir,48,93,435,342,1359,726,752,8,
Refletir A Escritura,91,208,1234,635,3326,1767,3762,18,
Reflexo,40,85,796,248,1355,720,602,7,
Reflexo Da Escritura,87,204,1599,557,3338,1771,3690,18,
Regenerar,55,91,343,393,1293,692,828,9,
Regenerativa,62,125,863,414,1935,1030,1512,12,
Reger,35,53,197,261,747,400,270,5,
Registro,48,111,561,358,1789,950,896,8,
Régua,25,52,403,165,840,446,265,5,
Regulamentar,54,135,819,326,2099,1117,1632,12,
Rei,23,32,104,187,430,231,99,3,
Rei Justo,36,117,774,238,1957,1037,944,8,
Rei Poderoso,67,139,553,467,2087,1113,1540,11,
Reinado,39,66,219,265,868,467,469,7,
Reino,34,61,214,248,851,456,310,5,
Reino Dos Céus,57,147,786,345,2289,1218,1776,12,
Rejeitando Os Excessos,82,244,1567,466,3922,2083,4900,20,
Rejeitaram O Consellho De Deus,114,276,1275,658,3952,2114,7202,26,
Rejeitas As Questões Loucas E Sem Instrução,137,461,2828,765,7605,4033,17094,37,
Rejeitas As Questões Loucas E Sem Instrução Sabendo Que Produzem Contendas,255,777,5277,1409,12749,6763,49792,64,
Relatar,30,75,417,202,1219,647,532,7,
Religioso,55,109,370,399,1515,812,990,9,
Remanescente,50,122,554,262,1756,939,1476,12,
Remir,36,63,234,284,923,493,320,5,
Remover Os Grilhões,97,223,1159,663,3435,1829,3808,17,
Renascer,38,83,344,248,1265,674,672,8,
Renascer Do Fogo,73,145,541,457,2041,1093,2044,14,
Renascimento,55,136,613,329,2012,1074,1644,12,
Render,37,64,244,253,910,487,390,6,
Renegará Em Tua Face,72,144,810,414,2052,1098,2465,17,
Renovação,40,94,670,230,1490,792,855,9,
Renuncia,40,85,508,256,1273,679,688,8,
Renunciar,49,103,598,337,1597,850,936,9,
Renuncie O Malvado O Seu Comportamento,148,400,2452,820,6238,3319,13233,33,
Renuncie O Malvado Seu Comportamento,142,385,2392,784,6013,3199,12352,32,
Representação,59,140,680,363,2172,1156,1833,13,
Representar,58,139,706,398,2261,1200,1540,11,
Reputação,37,100,730,215,1682,891,909,9,
Requerer,53,107,665,391,1777,942,864,8,
Reserva,34,88,691,230,1544,816,623,7,
Reservar Aos Injustos O Dia Do Juizo,136,397,3088,884,6707,3552,11940,30,
Resgate,30,75,408,186,1185,630,532,7,
Resignação,47,92,326,309,1272,682,930,10,
